Time,Average,Error,T12,T13,T14
0.0,100.657287091,4.44654987538,90.1556878472,103.40600037,108.410173056
1.0,97.5287277546,5.04397178546,85.8807109375,99.7847942708,106.920678056
2.0,98.3613839468,5.76235073181,84.2745342014,104.635663194,106.173954444
3.0,96.2712137037,4.70388685803,84.7700390625,101.42037066,102.623231389
4.0,95.2989173264,3.82267158598,85.9917480903,100.841395556,99.0636083333
5.0,96.5059679167,4.07196404205,86.5345149306,101.287723264,101.695665556
6.0,96.5426535957,4.88827375784,84.6880048611,101.010879259,103.929076667
7.0,95.891219213,4.95058371075,83.7708381944,101.620458333,102.282361111
8.0,94.1096094907,3.86144696739,84.7760631944,100.103847222,97.4489180556
9.0,96.4011156713,4.05101683075,86.6717355903,102.954796701,99.5768147222
10.0,95.9550884144,4.21040873328,85.7068364583,102.081180729,100.077248056
11.0,92.8044500926,4.67192262901,81.9553755208,101.382407813,95.0755669444
12.0,90.278525544,4.30871441773,79.7246131944,95.6170470486,95.4939163889
13.0,93.5626120718,4.4803238922,82.6198505556,98.3116095486,99.7563761111
14.0,97.8494195437,5.18716656598,85.5016755952,101.429057341,106.617525694
15.0,92.5397241623,3.81798289875,83.4917401852,99.1123644444,95.0150678571
16.0,90.8952718171,4.49497761422,79.8997213542,95.8979618056,96.8881322917
17.0,90.9741920152,4.49339211646,80.2656657986,94.1254624074,98.5314478395
18.0,90.8063371528,4.32361915106,80.3498947917,94.5789892361,97.4901274306
19.0,91.3769525013,4.49827594014,80.4364498264,95.7139607639,97.9804469136
20.0,91.9914954674,4.09258815259,82.1291740741,95.3661496296,98.4791626984
21.0,89.8573596644,3.96785484984,80.1573704861,94.1781265625,95.2365819444
22.0,90.8806883372,4.22553645574,80.5698040741,95.2535310764,96.8187298611
23.0,92.9531887667,4.34160154333,82.7008012153,95.6321024306,100.526662654
