Time,Average,Error
0.0,-4.06156380822,6.82067910007
1.0,-3.70648217382,8.01735851699
2.0,-5.64450250737,9.2411980331
3.0,-2.6522876936,7.61366937436
4.0,-1.95712389205,7.59948610592
5.0,-2.87273243687,7.15269752938
6.0,-5.09016925224,7.05120092203
7.0,-2.686597117,8.4883797215
8.0,-1.81189598064,7.1781908055
9.0,-3.29756742635,7.25872945426
10.0,-1.69834346486,7.86746287446
11.0,-1.82452648148,7.40302872206
12.0,-0.923287160143,7.51654648258
13.0,-2.58732078388,7.56209314142
14.0,-6.41001474567,7.92486611457
15.0,-1.47035132275,6.55810346075
16.0,-0.734236463594,7.15341693544
17.0,-3.74692243184,8.00853392851
18.0,-2.59417099116,7.40875143917
19.0,-1.80992958462,7.20854514255
20.0,-3.61420518959,7.51030229703
21.0,-0.124972719907,7.44601650934
22.0,-2.45942949881,8.03210995577
23.0,-2.54436591318,6.74439667525
