Time,Average,Error,T12,T13,T14
0.0,377.132455258,8.20334859114,392.311407812,380.945905185,358.140052778
1.0,370.443250532,5.48157361034,383.503658333,366.611885764,361.2142075
2.0,378.983564873,6.41642386984,370.558143403,394.686551215,371.706
3.0,368.396757755,5.61057315893,364.345570833,381.795314931,359.0493875
4.0,364.638987037,6.97337293609,370.5733375,375.543123889,347.800499722
5.0,367.4711739,5.57097672251,375.996440625,372.43626441,353.980816667
6.0,365.81538311,3.26036706269,367.369432292,371.822433148,358.254283889
7.0,362.201036528,4.86188901729,359.776367361,373.510973611,353.315768611
8.0,350.543364005,6.65720900058,355.765480729,361.310648785,334.5539625
9.0,356.267380012,8.71969799136,360.406081597,372.344722049,336.051336389
10.0,355.691255023,6.77000139092,357.381086806,369.132923264,340.559755
11.0,341.299701065,10.2007621784,340.483542361,363.335318056,320.080242778
12.0,314.343425301,4.52228513086,318.47830625,321.175807986,303.376161667
13.0,325.308522473,2.83545680102,326.20543537,330.824613715,318.895518333
14.0,346.405357226,5.1498266338,348.104916667,356.380402579,334.730752431
15.0,339.403805617,9.00838083113,345.982759815,354.35486537,317.873791667
16.0,324.878909606,3.7765731811,326.827047222,331.736497222,316.073184375
17.0,320.166132499,2.06671458738,321.768775521,315.206140185,323.52348179
18.0,319.211344387,1.04700784737,320.659381944,316.654184896,320.320466319
19.0,321.859306359,3.49174837051,323.376818924,328.390148611,313.810951543
20.0,328.062223369,3.17679490625,333.941543704,329.537233148,320.707893254
21.0,327.825941146,3.0888636868,334.313593056,327.953707465,321.210522917
22.0,327.443372458,4.16419146886,334.185575185,330.700938715,317.443603472
23.0,334.679104482,4.61128044518,344.335442708,334.925768576,324.77610216
