Time,Average,Error,T12,T13,T14
0.0,373.943238952,5.7368957462,382.056434722,365.830043182,
1.0,370.835068434,3.07867953566,375.188978788,366.481158081,
2.0,366.128116414,6.38440070215,357.099210354,375.157022475,
3.0,362.910879419,0.863387290037,361.689865404,364.131893434,
4.0,360.544457197,0.960503049564,359.186100758,361.902813636,
5.0,361.967340278,0.0831679889863,361.84972298,362.084957576,
6.0,349.580728283,8.23015689046,361.219927778,337.941528788,
7.0,355.100136742,1.14017138305,353.487690909,356.712582576,
8.0,347.74670404,0.0519502066898,347.673235354,347.820172727,
9.0,347.202925694,1.74616729603,344.733472222,349.672379167,
10.0,350.827953409,2.93780074103,346.673275758,354.982631061,
11.0,334.227150758,0.920779451226,335.529329545,332.92497197,
12.0,314.48524697,2.91612300772,318.609267677,310.361226263,
13.0,318.613207955,2.33974303911,321.922104293,315.304311616,
14.0,328.505455051,2.23717425423,331.669297222,325.341612879,
15.0,332.718041204,5.33665283787,340.265208025,325.170874383,
16.0,332.699068182,2.71388796843,336.537085354,328.86105101,
17.0,314.861465215,2.17718968066,311.78245404,317.940476389,
18.0,313.779333081,0.406027320563,314.353542424,313.205123737,
19.0,323.619054861,3.06143540651,327.948578333,319.289531389,
20.0,325.567994599,0.0120999283073,325.550882716,325.585106481,
21.0,335.825839306,1.53469915638,333.655446944,337.996231667,
22.0,331.345557702,3.39669197167,326.541909848,336.149205556,
23.0,338.428202525,4.77466979347,345.180605303,331.675799747,
