Time,Average,Error,T12,T13,T14
0.0,109.131314024,3.4801292053,101.370863368,109.956641481,116.066437222
1.0,105.723822049,4.25502434029,96.4677835069,106.202400694,114.501281944
2.0,106.465341921,4.76952082458,94.8691822917,111.03285625,113.493987222
3.0,104.346011979,3.66035736066,95.4882284722,107.572104687,109.977702778
4.0,103.478571146,2.73327554666,96.7990637153,107.214195833,106.422453889
5.0,104.750269375,3.02513722753,97.3986215278,107.622038542,109.230148056
6.0,104.905304792,3.96447459009,95.4127588542,107.878038021,111.4251175
7.0,104.09562691,3.92523234601,94.5286081597,108.049898958,109.708373611
8.0,102.371791829,2.72254982247,95.7814041667,106.550355208,104.783616111
9.0,104.799005139,2.88802005233,97.8746451389,109.5153375,107.007032778
10.0,104.386494155,3.06597198164,96.8991736111,108.635972743,107.624336111
11.0,101.097080741,3.63336604204,92.7848789931,108.007550174,102.498813056
12.0,98.3293973958,3.32910810345,90.1790298611,102.176644271,102.632518056
13.0,101.991247392,3.4949700036,93.5150131481,105.189288194,107.269440833
14.0,106.467194139,4.20253544791,96.741152381,108.409777951,114.250652083
15.0,101.208590586,2.84938631663,94.4401509259,106.068167708,103.117453125
16.0,99.2999225116,3.45551200623,90.9121970486,102.510382639,104.477187847
17.0,99.4575263002,3.53456082835,91.3887109375,100.773532778,106.210335185
18.0,99.4676939043,3.5082976645,91.2357309028,101.447610069,105.719740741
19.0,99.7111804913,3.48185474387,91.3195501736,102.587786979,105.226204321
20.0,100.425869295,3.08471777359,93.193507963,102.147481667,105.936618254
21.0,98.0867456019,2.97258301893,90.8694675347,100.860940451,102.529828819
22.0,99.2408243056,3.17737537212,91.5612880208,101.985486979,104.175697917
23.0,101.155801974,3.39034997456,93.4854916667,102.234168576,107.747745679
