Time,Average,Error,T12,T13,T14
0.0,106.588183333,3.54244283916,101.578412626,111.59795404,
1.0,103.34807702,4.82905416168,96.5187631313,110.177390909,
2.0,102.122255051,5.75995756068,93.9764449495,110.268065152,
3.0,103.276658838,4.37737488453,97.0861159091,109.467201768,
4.0,102.912307323,5.08022598998,95.7277828283,110.096831818,
5.0,103.311463636,4.331786139,97.1853929293,109.437534343,
6.0,101.096281818,3.59207244996,96.0163242424,106.176239394,
7.0,102.951643939,5.43173466346,95.2700111111,110.633276768,
8.0,102.159050758,4.47006944105,95.8374179293,108.480683586,
9.0,103.144152778,4.52748151194,96.7413270202,109.546978535,
10.0,104.198680934,5.14310751396,96.9252285354,111.472133333,
11.0,100.706122348,4.33920531405,94.5695593434,106.842685354,
12.0,98.971692298,4.93955147064,91.9861116162,105.95727298,
13.0,100.803115025,4.80220847776,94.0117666667,107.594463384,
14.0,101.331433965,4.66290469205,94.7370909091,107.92577702,
15.0,101.030996142,3.9495295402,95.4455179012,106.616474383,
16.0,99.9692522727,4.21660040853,94.0060787879,105.932425758,
17.0,96.6655564394,5.22592578865,89.2749813131,104.056131566,
18.0,98.1246258838,4.6793577812,91.5070146465,104.742237121,
19.0,99.5099973611,4.28601628663,93.448655,105.571339722,
20.0,98.8713746605,5.68482684815,90.8318154321,106.910933889,
21.0,99.4222948611,4.84041098406,92.57692,106.267669722,
22.0,97.9572755051,5.53325162702,90.1320760101,105.782475,
23.0,100.193175379,3.6334754269,95.0546651515,105.331685606,
