Time,Average,Error,T12,T13,T14
0.0,16.6018670525,2.36893049496,22.0326576389,12.1164074074,15.6565361111
1.0,16.2263500347,2.18525286354,21.1494232639,11.9450612847,15.5845655556
2.0,16.1383259838,2.23414834683,21.2822298611,11.9487911458,15.1839569444
3.0,16.1434333449,2.39084262419,21.5827435764,11.5441489583,15.3034075
4.0,16.2597981019,2.39192088214,21.7374743056,11.7203816667,15.3215383333
5.0,16.4268443403,2.35685670342,21.7759112847,11.8715947917,15.6330269444
6.0,16.3868330594,2.31167009608,21.6422914931,11.9336446296,15.5845630556
7.0,16.4086704861,2.31285475967,21.7103163194,12.0283243056,15.4873708333
8.0,16.5159043866,2.41687884136,22.1201748264,12.0615041667,15.3660341667
9.0,16.6598661921,2.43682662637,22.3350163194,12.2203980903,15.4241841667
10.0,16.6998832176,2.41446068154,22.2772821181,12.2074355903,15.6149319444
11.0,16.5148432986,2.25863444621,21.7408982639,12.3293352431,15.4742963889
12.0,15.9914951157,2.11065834911,20.9185352431,12.1714498264,14.8845002778
13.0,16.6057221451,2.15599357963,21.6506135185,12.7308006944,15.4357522222
14.0,16.8652474206,2.2690934011,22.1779271825,12.7943025794,15.6235125
15.0,16.357238642,2.30669595261,21.6940457407,12.0817646296,15.2959055556
16.0,16.6208195023,2.32194932372,21.9681039931,12.2689548611,15.6253996528
17.0,16.7215501916,2.35370507928,22.1310237847,12.2897144444,15.7439123457
18.0,16.6607490162,2.15965302933,21.6707666667,12.6849418403,15.6265385417
19.0,16.4004406121,2.17265813926,21.5717847222,12.7262395833,14.9032975309
20.0,16.5278942945,2.25155683324,21.8278435185,12.5566738889,15.1991654762
21.0,16.1364739005,2.17027162111,21.2631607639,12.3552772569,14.7909836806
22.0,16.3348633835,2.14536173023,21.3548840741,12.4790668403,15.1706392361
23.0,16.1541235854,2.21621533783,21.3733027778,12.25133125,14.8377367284
