Time,Average,Error,T12,T13,T14
0.0,19.1842382323,3.45156897546,24.0654938889,14.3029825758,
1.0,18.5819670455,3.18822957152,23.0908045455,14.0731295455,
2.0,18.4803815657,3.34569198436,23.2119045455,13.7488585859,
3.0,18.9193824495,3.5750687639,23.9752931818,13.8634717172,
4.0,18.7982661616,3.39823591075,23.6040974747,13.9924348485,
5.0,18.9713854798,3.49160391506,23.9092590909,14.0335118687,
6.0,18.9046512626,3.37416874578,23.6764464646,14.1328560606,
7.0,19.0987917929,3.35544229047,23.8441037879,14.353479798,
8.0,19.2833833333,3.56348462277,24.3229116162,14.2438550505,
9.0,19.3714047727,3.5176930483,24.3461739899,14.3966355556,
10.0,19.3249957071,3.39184391544,24.1217873737,14.5282040404,
11.0,18.9555217172,3.1923471293,23.4701823232,14.4408611111,
12.0,18.6463190657,2.83832081641,22.6603108586,14.6323272727,
13.0,19.0248540404,2.93786332712,23.179620202,14.8700878788,
14.0,19.1113598485,2.99595000645,23.3482729798,14.8744467172,
15.0,19.329616821,3.1163159389,23.7367530864,14.9224805556,
16.0,19.0329893939,3.05473468588,23.3530366162,14.7129421717,
17.0,18.7573264773,2.96836911896,22.9552343434,14.5594186111,
18.0,19.1677972222,3.04311331451,23.4714093434,14.864185101,
19.0,19.1976095833,3.04507688397,23.5039986111,14.8912205556,
20.0,18.5581209877,2.92581973523,22.6958549383,14.420387037,
21.0,18.7858318056,3.24174174316,23.3703469444,14.2013166667,
22.0,18.5559253788,3.00769342517,22.8094462121,14.3024045455,
23.0,18.939052399,3.36939443579,23.7040957071,14.1740090909,
