Time,Average,Error
0.0,2.58237117985,4.18630625759
1.0,2.35561701073,3.86524745369
2.0,2.34205558186,4.0230676964
3.0,2.77594910459,4.30084237334
4.0,2.53846805976,4.15563386399
5.0,2.54454113952,4.21260862413
6.0,2.51781820321,4.0900896516
7.0,2.69012130682,4.07532699351
8.0,2.76747894676,4.30577820963
9.0,2.7115385806,4.2792859672
10.0,2.62511248948,4.16343914683
11.0,2.44067841856,3.9105638667
12.0,2.65482394992,3.53708124356
13.0,2.41913189534,3.64408414341
14.0,2.24611242785,3.75825774849
15.0,2.97237817901,3.87714730811
16.0,2.41216989162,3.83703696399
17.0,2.03577628566,3.78829022471
18.0,2.50704820602,3.73157337487
19.0,2.79716897119,3.74071338375
20.0,2.03022669312,3.69187341283
21.0,2.64935790509,3.9011496304
22.0,2.2210619953,3.6944277897
23.0,2.7849288136,4.03291820988
