Time,Average,Error,T12,T13,T14
0.0,117.270054016,2.88761733849,112.196556771,115.538638889,124.074966389
1.0,113.758891725,3.74111871159,107.03379566,111.730551736,122.512327778
2.0,114.50611912,3.82130475319,105.558939757,116.598185938,121.361231667
3.0,112.417715949,2.73825523208,106.348971354,112.978438715,117.925737778
4.0,111.560841975,1.62291971919,107.727194444,112.566749815,114.388581667
5.0,112.93832272,2.12985349485,108.306942187,113.174114583,117.333911389
6.0,112.933694826,3.10963304016,106.327288368,112.953496667,119.520299444
7.0,112.306950498,2.95149823061,105.478469965,113.664511806,117.777869722
8.0,110.629301667,1.53355138428,106.891047222,112.178898611,112.817959167
9.0,113.060832106,1.66046896615,108.995005035,115.188587674,114.998903611
10.0,112.657337558,1.93802401819,107.979511458,114.296126215,115.696375
11.0,109.323589653,2.41706141027,103.694734896,113.727618229,110.548415833
12.0,106.266614977,2.37617470915,100.638840799,107.794404688,110.366599444
13.0,110.167513808,2.59935582804,104.266826111,111.046302257,115.189413056
14.0,114.717948247,3.44088969994,107.676128373,114.227832341,122.249884028
15.0,108.896836146,1.52967145396,105.185431296,111.19822,110.306857143
16.0,107.511884028,2.52398157336,101.861081597,108.165075,112.509495486
17.0,107.693378574,2.84828325897,102.394409549,106.412478333,114.27324784
18.0,107.46596875,2.61626253124,102.017355729,107.268598438,113.111952083
19.0,107.77343161,2.57686103901,102.005186458,108.437989236,112.877119136
20.0,108.51489082,2.30528828684,103.951404259,107.916436852,113.676831349
21.0,105.98819022,2.03962450567,101.41532309,106.531932986,110.017314583
22.0,107.210891667,2.38132780678,101.917911111,107.734526042,111.980237847
23.0,109.106929372,2.70733094529,104.070649132,107.888721701,115.361417284
