Time,Average,Error,T12,T13,T14
0.0,115.795983144,1.72305704653,113.3592125,118.232753788,
1.0,112.417092172,3.05028830559,108.103333081,116.730851263,
2.0,111.203830051,3.88166749651,105.714323232,116.693336869,
3.0,112.545969066,2.41442422895,109.131457576,115.960480556,
4.0,112.143762374,3.17387289327,107.655228283,116.632296465,
5.0,112.610228788,2.39424016943,109.224261869,115.996195707,
6.0,110.361851263,1.70848497748,107.945688636,112.778013889,
7.0,112.305503409,3.54441818481,107.292939141,117.318067677,
8.0,111.58408649,2.4908719358,108.061461616,115.106711364,
9.0,112.479292008,2.51016931733,108.929376515,116.0292075,
10.0,113.592436111,3.25907479634,108.983408333,118.201463889,
11.0,109.942278283,2.55537052014,106.328438636,113.556117929,
12.0,108.005045707,3.32279833094,103.305899242,112.704192172,
13.0,110.002232449,3.15395792717,105.541862374,114.462602525,
14.0,110.556460101,2.99520968708,106.320593939,114.792326263,
15.0,110.40828858,2.22168149306,107.266356481,113.550220679,
16.0,109.203282576,2.51418333576,105.647690404,112.758874747,
17.0,105.985751263,3.66298508206,100.805508081,111.165994444,
18.0,107.38366452,2.97511544441,103.176215909,111.591113131,
19.0,108.769832639,2.58766345294,105.110323889,112.429341389,
20.0,106.934600154,3.37345597461,102.163812963,111.705387346,
21.0,108.526140278,3.06334076466,104.193922222,112.858358333,
22.0,106.979530429,3.82598114115,101.56877601,112.390284848,
23.0,109.353870076,1.7936009028,106.817335354,111.890404798,
